Symbol,ECFC-L1-rep1,ECFC-L1-rep2,ECFC-L1-rep3,ECFC-B1-rep1,ECFC-B1-rep2,ECFC-B1-rep3,ECFC-B2-rep1,ECFC-B2-rep2,ECFC-B2-rep3,ECFC-L2-rep1,ECFC-L2-rep2,ECFC-L2-rep3
EP300,10.796752259056186,10.616481750627429,10.365951908248741,10.888386415855923,10.414905900260687,10.644704273837803,10.616030630113888,10.202931477280202,10.811052725953136,10.8200831600325,10.875711913011386,10.88191740437265
FBXW7,9.488455769693621,9.592848722543907,9.170923656232551,8.61473238265507,8.736250862748726,8.84622450208206,8.661239503612459,8.828924770369635,8.781486057167475,8.682032174107997,8.56371997374197,8.800183613789722
FLT4,12.006004758549604,11.239208489362529,11.833377908685275,9.850276587578868,9.078836032178517,10.255549753435972,6.855355309769565,10.019369977717163,10.492591982150508,13.159203151588125,13.129677696404665,13.097387785113902
FYN,10.702544533023264,10.668073290675505,10.67907054399267,10.884971534363869,11.280837199537087,10.86215389414741,10.321175967152806,10.77508720842645,10.808985497712584,11.076630000777556,10.987055407693303,10.953200260682586
HDAC3,9.516705814235165,9.711630804008363,9.559416676806316,9.382872614019455,9.501656269484924,9.654179633332637,9.61599060839543,9.847079290571594,9.585826240544053,9.568266235499431,9.769151905082373,9.71005276434312
HES1,10.57065033758588,9.681384734391607,9.88949838067874,10.714607622317612,9.597403385688828,8.724190416682491,10.286638950934595,9.20797696142964,9.10050642249053,9.28037928012618,9.028331370311923,8.975862886182764
HEY1,7.8641869100258415,6.870011670885128,8.4192122960633,5.915978625988565,3.6601314573476844,4.265322169236449,5.89331545884893,3.8639678973450216,3.4969691920871497,7.521450855366761,8.202238839482686,7.72169339156502
HEY2,5.406964949296927,6.375184167409561,5.5161288343550465,2.9490060014481965,3.776120781483144,1.8497402933498734,6.690230309566434,3.7567241555210416,3.6025831083229227,5.177288767770998,3.90470648583484,3.832760909037137
JAG1,12.460879750996154,12.50687229079324,12.612693903541253,10.775812070577375,11.290622595305734,10.341073608117997,11.659980199607183,10.888980868410997,11.314531699569496,13.913542342259563,13.476934991127948,13.839015728771496
JAG2,10.813929165729903,10.939139349786064,10.642504106017311,10.942774427746873,11.270984978659957,10.587249050927637,10.591847439044907,11.335231261105777,11.685907966656368,11.503393790345697,11.097666047244411,11.125643658959294
KAT2B,8.879333950343586,9.057481618977263,8.836142651109903,8.387447387233516,8.20564841619946,8.594116442517455,8.231197791736626,7.568344245752377,8.022168794097324,8.649781122813115,8.889448389824354,8.7971176802538
KPNA3,11.123501960551904,11.247588516137744,11.34537864969038,11.275029768015846,11.524208820791479,11.43627607924969,11.468196112077871,11.404595156019296,11.423036227793377,11.194503294131371,11.108796484855857,11.140234534952402
KPNA4,11.399889002265242,11.478716919348482,11.4272928205347,11.437114353566093,11.667687782643858,11.386620597350003,11.690363945529139,11.69929438914521,11.574716421817136,11.441156318574825,11.343620251976374,11.41780787404221
KPNA6,11.286876731230219,11.295445775358791,11.023459900979734,11.46539895447092,11.318391445368684,11.250339881545607,11.376607738595643,11.085988131761326,11.497663681509968,11.477212762070668,11.36780312011089,11.454270663762276
LRP8,8.79342160252883,8.962458019189834,8.862396878664537,9.188806213339438,8.266414205196966,8.961251188898393,8.839421814638525,8.80557205198973,9.080079864354227,9.018335194622532,8.319595169853114,8.688798630333515
LYVE1,12.531804909405393,11.792143828537718,10.58498002712893,10.492518568603098,10.743541207680977,11.557992283187101,7.925409593701427,9.757772878119729,10.483979706315383,6.465861241019497,8.211986762570104,7.72169339156502
MAML1,10.083805692716858,10.024348603471399,9.900801810780543,9.813027318225723,9.599373083783567,9.833717956489942,9.761849171429429,9.524317110187695,9.857910111668282,9.520017014933947,9.575091649451526,9.692009752220878
MAML2,10.19287225563383,10.185935351020909,10.029955465078341,9.123654840937709,9.334347246977673,9.10919000439597,9.884782602505902,8.778411996871563,9.383991017410244,9.908675898152712,10.04751051480445,10.19894200836068
MAML3,8.827651315286,8.656733512718327,7.757722379183328,8.825359523006338,8.152978867234303,8.510729740609019,8.779015245525276,7.1584740769020705,8.598913054590534,8.046109920048536,8.069130825169292,8.115462721111
MIB1,10.69535336031377,10.504122674494022,10.658407983894465,11.028067160413705,10.896350510122852,10.839777164947613,10.764484080704477,10.696557826160902,10.820660817536352,10.553218131382307,10.48550142062756,10.631281927872582
MIB2,9.770445550865482,9.38334873301532,9.367044725608185,9.42580656390568,9.501656269484924,9.337353256446141,8.962222680692904,8.997393453228286,9.47719691124989,9.631563488897878,9.60128911123646,9.494181227122441
MYC,11.753959366191012,11.416245554110557,11.47675481696002,11.32817507024552,11.242279207080173,11.24364080973863,11.528556571698577,11.2105980559089,11.377729005577507,11.363738681042474,11.409701129839933,11.462034786230495
NCOR1,11.173894566661907,11.087106912318847,10.670015455337612,11.318081367058332,10.87293021000794,11.127524350296607,11.050136864370861,10.599026017361307,11.134196870552012,11.224922341110544,11.094375979746378,11.172534267434274
NCOR2,12.307625611861933,12.112372041982919,11.119109142219749,12.274086128136386,11.78569193847963,11.664843637534512,12.892186793768191,11.748672166865987,12.530410057668039,11.802825638155158,11.429158208032371,11.484603190262623
NCSTN,11.998929332971182,12.025030773962369,11.780433470874563,11.926716827659405,12.237245503685978,11.781502729743522,11.904993955287802,12.202013175143373,12.101305310900637,12.471492102124818,12.313092853205793,12.260570734695689
NEURL2,5.939400064603647,5.663971222130958,5.60173607440683,4.7424542556276625,5.12379413678777,5.55490300369263,5.486346103083018,5.1034637782701555,5.563916061515093,5.131311469020968,4.997732945909055,5.244398547176286
NEURL4,8.471344193385269,8.287555268186413,7.738951060215375,8.444236491287594,7.945656956031743,8.235385812536068,8.520742412774847,8.115935491668822,8.422659210690757,8.458231162686044,7.9401837820020855,8.192154439812546
NOTCH1,12.097690296978543,11.803221635403988,11.56421565051137,12.087251747418438,11.378696801434128,12.026929163642947,11.269690717531944,11.281230517695361,12.138822130956687,11.88044502538578,11.883737959455484,11.93899434255362
NOTCH2,12.163194741414815,12.186032406656121,11.817063830370229,5.861420225952389,5.327645154744354,5.706501307198877,12.143616958837132,10.277572938071675,10.282194609188695,11.703711580421086,11.326896407797149,11.74302010050865
NOTCH3,4.692491703968593,3.9147786171594205,4.902547755069402,3.73595267493957,3.776120781483144,4.390028316786781,3.757284059444257,2.6358702011344612,3.7009900490105956,6.780803310001016,5.390032942804916,5.77981748401115
NOTCH4,0.0,1.4096537252237002,0.0,4.548882172380139,3.395764722697931,4.661481363307589,4.380397242596792,2.3708336068382656,4.693064095131452,0.0,0.0,0.0
PDPN,12.436133323581135,12.680938855049313,12.57305856064344,4.7424542556276625,4.2473117755026975,4.802795362067365,4.380397242596792,4.057146689869297,4.872701006366276,14.406049760034197,14.253942289377257,14.198662444138321
PROX1,9.665010312030109,8.751284427292283,10.503912077075299,2.9490060014481965,3.242872725992211,4.265322169236449,2.860212400346084,2.8596910577756436,3.4969691920871497,11.183280848015851,11.305430711599223,11.103476870116875
PSEN1,10.181153024874066,10.25308651808762,10.187087679896145,10.133915523226968,10.737293619992917,10.281944621495867,10.115351056548171,10.165421783998674,10.336783453385097,10.285792142254062,10.50148710682762,10.433223139845673
PSEN2,7.29687016106915,7.683743009081899,8.128458194177664,7.733003808228371,7.573223370300169,7.756844349683798,6.6154301877305395,7.828788029283394,7.871838853633231,8.476734559327213,8.677145567825251,8.404470958213924
PSENEN,8.693843269338728,8.87097790510646,9.049222603460198,8.977400895225626,9.672296093910083,8.988629898854619,9.154128697364198,9.472300625098748,9.077792290708656,9.077117592206658,8.983506312394441,9.075388309073166
RBPJ,10.17230070274293,10.09270331977105,10.534168507834151,10.172242305805355,10.22384887685473,10.265758854405464,10.281809673083027,10.162798602849774,10.129326509523318,10.859394110066424,10.982791284725618,11.095387749578135
RBX1,9.017547776576368,8.97438695995321,9.338233999778765,8.993346224852294,9.150442366012907,9.22044776154993,9.466534483402183,9.572548166766946,9.215261226663847,9.150984612553682,9.07447969013318,9.082960777417787
RELN,12.263503527580394,11.62702156275851,13.006520753962924,5.968548753159004,6.650830353862,4.971962750782774,8.260949400918063,8.014833098602727,8.25055418006394,14.556129164836278,14.975565785740288,14.803502204209797
SH3KBP1,9.910108076163722,9.938047694033216,10.198582656509439,10.16662811263062,10.1612234807562,9.928014768889405,10.572204711979145,10.560681892647393,10.630082533436427,10.811908616595577,10.789637897690309,10.742245862564852
SKP1,12.09378884630241,12.105066155157687,12.295648400004891,11.750753567506496,12.215257851150032,11.935882108853477,12.160158172406138,12.188535819884025,11.954740401185003,11.938750011424709,12.059706441248442,12.044243104689084
SNW1,10.40042281097226,10.415898830194125,10.02737938954351,10.353656023166524,9.806232043058928,10.359303605489544,10.323527628793794,10.416182765122551,10.448121820479717,9.920551659016455,10.083798135497778,10.128730193400282
TBL1X,9.774350825339482,9.775748301653561,9.539667497703475,9.871137892748866,9.589497590550785,9.89287777869607,9.730292837730278,9.514062768649737,9.860573960431694,9.386940633400036,9.317335542054767,9.342610699033782
VLDLR,9.128494923359908,9.161316309335673,8.836142651109903,8.152038528246198,9.050320237366142,7.256638852079726,7.887765107076152,7.979494065010406,8.242407163565366,9.60026197479564,9.207117077733121,9.036918039895397
