Symbol,ECFC-L1-rep1,ECFC-L1-rep2,ECFC-L1-rep3,ECFC-B1-rep1,ECFC-B1-rep2,ECFC-B1-rep3,ECFC-B2-rep1,ECFC-B2-rep2,ECFC-B2-rep3,ECFC-L2-rep1,ECFC-L2-rep2,ECFC-L2-rep3
KPNA4,2701.1442963171303,2852.8957482961123,2752.961776667362,2771.7740715427567,3252.299171737289,2676.4067197661175,3303.838244955202,3324.3590106090824,3049.259822150252,2779.5533803793496,2597.782629662592,2734.915342151143
KPNA6,2497.552351108302,2512.4369351283704,2080.5751096696763,2826.671779507831,2552.7320540938304,2435.0700126318393,2657.8888218259317,2172.776849419115,2890.6228516503093,2849.9218203889536,2641.711313638439,2804.9443163100304
LRP8,442.6941134191967,497.8485321503959,464.4224135434777,582.5879212620183,306.92052060000447,497.43141434511364,457.06922024332863,446.44670741784984,540.2231968376431,517.5485265222472,318.48295882489117,411.65680755562187
LYVE1,5920.7378484567425,3545.410511819791,1535.0186600252296,1439.6643823494107,1713.4631822462318,3014.104486223795,242.10059154441151,864.7297206761624,1431.1627230508354,87.39306259257245,295.5202376556984,210.08692247666218
MAML1,1084.2454756470165,1040.428879169546,954.9569306596811,898.529832407959,774.7097278593217,911.5235341402606,867.1792740233016,735.3853474990283,926.9544060023685,733.1937459065169,761.7633153084388,826.1526275771446
MAML2,1169.470010850712,1163.8555535296275,1044.4841429090263,556.8196093600444,644.5330932600094,551.2547087419672,944.4010144297087,438.10190914835727,667.1327732375973,960.1887136794323,1057.2835529641372,1174.4048233943142
MAML3,453.3471803196586,402.58633381878934,215.42485447498666,452.62600036510656,283.6368948993145,363.7412960045421,438.2855536579863,141.86157058137283,386.73120916472544,263.31416261658194,267.56562058015936,276.3305466810151
MIB1,1657.1437400718592,1451.298882408475,1615.2201209986013,2087.2332640598847,1905.023920965545,1831.728244796143,1738.532696176679,1658.5286560616382,1807.6039665615103,1501.5717118178356,1432.6741251213757,1585.1152934613026
MIB2,872.3678117378287,666.8353883212457,659.3306152113228,686.7815302569562,723.9090899669071,645.8795327622419,497.76716451157023,510.0757942227303,711.7226244051488,792.2124375274749,775.7406238462083,720.1628288501798
MYC,3452.7773498497236,2731.9541747620724,2849.0170148098887,2570.1090218751347,2421.4970728717594,2423.784483161531,2953.2098020288126,2368.879608752189,2659.956121572014,2634.276601004684,2719.584889777441,2820.0857161281683
NCOR1,2309.348169200141,2174.463222786671,1628.276172784964,2552.1832396824575,1874.3318689055445,2236.2710704241063,2119.4237130461197,1550.0462785582356,2246.642501134325,2392.5269603265288,2185.452027798391,2307.17079728875
NCOR2,5068.492496419786,4426.792938122655,2223.25910419207,4951.997330727156,3529.5859869000515,3245.89189919089,7601.123744868506,3440.143086598291,5915.015256803273,3571.765817906825,2756.524919484403,2864.563578093948
NCSTN,4091.961363877441,4166.685718330268,3516.7408061695874,3892.1354585850995,4827.118946402139,3519.348959432968,3833.9550574748614,4710.638623128528,4392.957837141659,5678.27911883948,5087.740307748105,4905.813541076652
NEURL2,60.367379102617726,49.70201652083819,47.56133150746459,25.768311901973888,33.86709192827636,46.010235532794105,43.828555365798636,33.37919307797008,46.30484544322655,34.04924516593732,30.949754619346795,36.90716205671092
NEURL3,7.102044600307968,4.141834710069849,23.31437818993362,4.481445548169372,8.46677298206909,6.076823560935071,2.0870740650380304,5.215498918432825,6.002479964862701,38.589144521395625,29.95137543807754,40.69251201124538
NEURL4,353.91855591534704,311.46597019725266,212.62712909219462,347.3120299831263,245.53641648000357,300.3687074405049,366.2814984141743,276.4214426769397,342.14135799717394,350.7072252091544,244.6028994109666,291.4719464991529
NOTCH1,4381.961518390016,3572.746620906252,3027.1388641809813,4350.363265885418,2661.7417562379696,4172.173433407707,2467.965081907471,2487.7929840924576,4508.719950749726,3769.251439869261,3777.8668219228475,3925.4079028522287
NOTCH2,4585.553463598844,4658.735681886566,3607.20059354653,57.13843073915949,39.15882504206954,51.21894144216703,4523.733035969931,1240.2456428033258,1244.2283470022542,3334.556076584128,2567.8312542245144,3426.6880463423145
NOTCH3,24.857156101077887,14.082238014237488,28.90982895551769,12.323975257465772,12.700159473103634,19.96670598592952,12.52244439022818,5.215498918432825,12.004959929725402,108.95758453099941,40.93354643203931,53.94123685211596
NOTCH4,0.0,1.6567338840279398,0.0,22.40722774084686,9.525119604827726,24.307294243740284,19.827203617861286,4.17239913474626,24.86741699728833,0.0,0.0,0.0
PDPN,5540.778462340267,6565.636382402725,6092.513308593454,25.768311901973888,17.991892586896814,26.911647198426742,19.827203617861286,15.646496755298475,28.297405548638448,21708.66374296277,19536.28381907671,18801.83322417263
PROX1,810.8167585351597,429.92244290525036,1451.0868985414686,6.722168322254058,8.46677298206909,18.230470682805212,6.26122219511409,6.25859870211939,10.289965654050343,2324.4284699946543,2529.8928453362832,2199.2883235845175
PSEN1,1160.0006180503015,1219.3561386445635,1164.7863343690838,1122.6021098164276,1706.0547558869214,1244.0125946885653,1108.2363285351942,1147.4097620552216,1292.2481867211557,1247.3373479121703,1448.6481920216838,1381.6527334050757
PSEN2,156.2449812067753,204.60663467745056,278.8399631516061,211.74830215100283,189.44404547379585,215.29317758741394,97.04894402426841,226.3526530599846,233.2392214918078,355.2471245646127,408.3370851391238,337.8424834422
PSENEN,413.1022609179135,467.198955295879,528.7700973476946,503.042262782012,814.9268995241498,506.9807085122973,568.7276827228633,709.3078529068641,539.3656996998055,539.1130484606742,505.17986572224123,538.4660310325261
RBPJ,1152.8985734499934,1090.9592626323983,1481.861877752181,1152.851867266571,1194.8733370945001,1230.1227122635707,1243.896142762666,1145.3235624878484,1119.0337648779748,1856.8188363824484,2022.7162212515034,2186.985936232281
RBX1,517.2655817224303,501.9903668604657,646.27456342496,508.6440697172237,567.273789798629,595.528708971637,706.4745710153733,760.4197423075059,593.3880193835698,567.4874194322887,538.1263787041265,541.3050434984269
RELN,4915.798537513165,3161.876617667323,8228.110350791374,61.619876287328864,99.48458253931179,30.384117804675356,305.75635052807144,257.64564657058156,303.5539867944851,24088.705980061786,32216.697800377475,28594.533556553266
SH3KBP1,961.1433692416783,979.9580924025263,1174.112085645057,1148.3704217184015,1144.0726992020857,973.1598874011735,1521.4769934127241,1509.3653869944594,1583.7972135859154,1796.6651699226259,1769.1279092091136,1711.9245169382068
SKP1,4370.124777389503,4404.427030688277,5026.579937749689,3445.111265155205,4754.093029431793,3916.946843848434,4575.909887595882,4666.8284322136915,3968.4967539120826,3924.7429927937083,4268.07099992605,4222.557874283183
SNW1,1350.5721481585651,1365.1487204390223,1042.6189926538316,1307.4617386784143,894.3028962310475,1312.5938891619753,1280.4199389008315,1365.4176168457136,1396.0053403994966,968.1335375514844,1084.239790858407,1118.570911564931
TBL1X,874.7351599379314,875.5838577087661,743.2623766950838,935.5017581803564,769.4179947455284,949.7207108089954,848.3956074379593,730.1698485805955,928.6694002780436,668.500180091236,636.9659176497823,648.2411797140252
VLDLR,558.6941752242268,571.5731899896392,456.02923739510163,283.45143092171276,529.1733113793181,151.92058902337678,235.8393693492974,251.38704786846216,301.8389925188101,775.1878149445063,590.0420961301276,524.2709687030218
