Symbol,BLM1,BLM2,BLM3,LYM1,LYM2,LYM3
MYC,6398.071264226045,6494.864770560739,6583.739869232002,5123.025749786245,5349.440882382354,5979.779061773918
NCOR1,6838.684493326261,7903.274226625623,9001.443632864219,8489.505485108777,7887.44559984292,8169.753460525473
NCOR2,15354.58422480483,11672.87202248787,14757.345107385476,13050.361803365435,9365.778260842051,10078.582497275138
NCSTN,16040.419697481653,14566.339068281033,12616.742061648069,9249.64820481822,16430.926357514047,11382.47027522817
NEURL2,103.5965627943959,92.61649484326901,65.81142050001738,94.31746276493087,92.14539621403793,114.02489914008491
NEURL3,120.64409844410662,95.81016707924381,78.80051665133661,43.890304454967826,216.34136502426296,151.45291946850972
NEURL4,1184.148053206829,1110.3333807072365,1227.902556171377,923.564066084323,1096.7305310257775,1099.3392947628033
NOTCH1,13850.467040941892,11570.674510936677,13865.427171661557,15912.569955588337,11763.561723194298,16049.657368275006
NOTCH2,1378.227689834305,819.7092072335304,1923.2521701386659,1730.3985990437316,685.0809892434994,838.2135715412348
NOTCH3,30.161024611026654,7.4519018839411855,14.720975638161782,137.27393095489938,64.1011451923742,136.65579515262084
NOTCH4,184.9001943545547,119.23043014305897,201.76396021715854,172.75970902487336,131.20703156564096,161.02752931996724
PDPN,14.42483785744753,18.097476003857164,17.318794868425627,16400.03248591798,8871.999126782042,11525.219003922628
PROX1,22.29293123423709,61.74432989551268,42.43104742764279,9592.36611407297,5870.262687070394,7884.256003136558
PSEN1,4354.989684053023,4034.672591448156,3806.6711120799528,2788.435087287956,4061.4084961730846,3271.034892888848
PSEN2,717.3078461839817,790.9661571097572,550.737676815935,742.3998306744558,1096.7305310257775,925.2554792817577
PSENEN,1409.7000633414632,1367.9562744092034,1090.218136967393,967.4543705392908,1319.0813784118257,1099.3392947628033
RBPJ,3064.6223702595344,3236.2545324544576,3520.91099675093,4133.15930888697,3596.675193528372,3902.9591430850437
RBX1,1909.3239927676004,1854.4590116893635,1638.3579945530644,1819.1130442186666,1772.7972967265994,1617.2386458189142
RELN,4479.567829185524,7638.199431039715,4479.506292718288,36427.0850250933,43506.64913853673,42972.58985149612
SH3KBP1,2689.5765859658986,2644.360611387129,3212.6364480929537,3908.1047690221353,2611.120086195618,2816.676134483319
SKP1,11223.83520199031,11109.721151544316,10177.389804430319,9851.972595742778,10456.499309506044,9874.904433162315
SNW1,3400.327687669222,3124.47600419534,3552.9507672575173,3783.9045457772263,3190.033553714248,3431.1920031314103
TBL1X,1733.6032406859667,1798.0374688538088,2132.8095880466158,2084.322543478472,1766.7878143648143,1873.1418545760514
VLDLR,3505.23559935975,2172.761677874851,2674.0219276849166,903.0196682543381,470.74278500649814,819.0643518383199
