Symbol,CTRL1,CTRL2,CTRL3,II41,II42,II43,II44,VEGFC1,VEGFC2,VEGFC3,VEGFC4
NOTCH1,3678.046555816359,3805.0311636337988,3906.056403737779,5721.613813104114,5047.907485867954,4776.212924535464,5292.0224300406735,3395.853662398193,5063.457575224471,5279.479022743774,4479.530405494872
NOTCH2,143.16957536346573,176.87535914625445,162.58711934339993,314.7202317439007,280.3394687772876,310.8124698677294,278.4347465689066,204.48645193060838,204.6929658069467,194.42272786869634,182.7202183435006
NOTCH3,0.0,0.0,1.982769748090243,4.196269756585343,7.188191507109938,5.517381121912357,8.81122615724388,4.5952011669799635,2.15466279796786,10.021790096324553,3.8467414388105383
NOTCH4,7987.249126967434,6681.466691749762,6670.037432575578,5253.729735244849,5152.136262721048,5061.2776158342685,5061.168304720884,2938.6311462836866,4324.408235521495,3675.992607331846,3906.365931112102
PDPN,15795.032166507424,16608.596223833294,16708.80066715648,19338.509173223552,19851.98789476087,20287.410385271738,19240.193436957736,14435.824466067555,13052.947230089296,14106.671739586442,13486.675484469748
PROX1,4807.27137558454,4401.9855007524075,5153.218575286542,6004.862021673625,4934.693469630973,5644.280887716342,4884.943781576007,13100.918527059875,7948.551061703436,8999.567506499448,8207.022859702283
PSEN1,1262.3120306694302,1291.1901217676575,1350.2661984494555,1095.2264064687745,1090.808061203933,1186.2369412111568,1025.6267247031876,1208.5379069157304,1090.2593757717373,1104.4012686149658,1142.4822073267298
PSEN2,905.3963287069876,906.4862156245541,923.9707026100533,1537.932865788528,1443.0294450523202,1395.8974238438263,1508.4819181201522,622.6497581257851,741.2040025009438,845.8390841297922,834.7428922218869
PSENEN,465.8052381543744,521.7823094814506,458.01981180884616,583.2814961653627,584.0405599526824,584.8423989227099,544.5337765176718,425.0561079456466,551.5936762797721,561.220245394175,569.3177329439598
RBPJ,1060.6647414251124,959.5488233684304,1076.643973213002,759.524825941947,727.8043900948812,925.0809014406385,831.7797492438222,2019.590912887694,1213.0751552559052,1160.5232931543833,1094.3979393415982
RBX1,703.7490394626695,762.7749863182223,713.7971093124876,757.4266910636544,812.265640303423,733.8116892143435,778.9123923003589,778.8865978031038,976.0622474794405,1104.4012686149658,1082.8577150251665
RELN,6646.29465349272,6157.473440278983,8214.615066337878,20933.091680725982,16588.54895053296,19279.568767002413,19723.0486303747,22311.999266271214,19913.393578818963,25044.45345071506,20964.740841517436
SH3KBP1,623.0901237649424,623.4856409905469,604.7447731675242,879.1185140046293,851.8006935925276,880.9418524653397,867.0246538727977,677.7921721295446,624.8522114106794,631.3727760684469,659.7161567560073
SKP1,2595.200612574372,2540.3723457380797,2617.256067479121,2345.7147939312067,2420.6234900192717,2596.847381380083,2333.2126864381794,4193.121064869217,3119.9517314574614,3034.598041167075,3208.182359967989
SNW1,1280.460286701419,1384.049685319441,1276.9037177701166,1525.344056518772,1579.605083687409,1609.2361605577707,1462.663542102484,1472.7619740170783,1404.8401442750446,1393.0288233891129,1500.22916113611
TBL1X,467.8217110468176,493.0400636201843,436.2093445798535,675.5994308102402,652.3283792702268,606.9119234103592,636.1705285530081,443.43691261356645,474.0258155529292,475.0328505657838,459.68560193785936
VLDLR,185.5155061047725,203.40666301819263,247.8462185112804,1804.3959953316973,1592.1844188248513,2034.0745069450222,1734.0493077455953,1622.1060119439271,1648.3170404454129,1521.3077366220673,1602.1678092645893
