Symbol,D10_LEC_118_3d,D10_LEC_4G4_3d,D10_LEC_AD2_3d,D10_LEC_IgG1_3d,D10_LEC_IgG2b_3d,D10_LEC_siCD73_3d,D10_LEC_siCtrl_3d,D10_LEC_Untouched_3d,D11_LEC_118_3d,D11_LEC_4G4_3d,D11_LEC_AD2_3d,D11_LEC_IgG1_3d,D11_LEC_IgG2b_3d,D11_LEC_siCD73_3d,D11_LEC_siCtrl_3d,D11_LEC_Untouched_3d,D12_LEC_118_3d,D12_LEC_4G4_3d,D12_LEC_AD2_3d,D12_LEC_IgG1_3d,D12_LEC_IgG2b_3d,D12_LEC_siCD73_3d,D12_LEC_siCtrl_3d,D12_LEC_Untouched_3d,D17_LEC_118_3d,D17_LEC_4G4_3d,D17_LEC_AD2_3d,D17_LEC_IgG1_3d,D17_LEC_IgG2b_3d,D17_LEC_siCD73_3d,D17_LEC_siCtrl_3d,D17_LEC_Untouched_3d
DLL1,27.33315518526233,31.570633963105244,40.87381600591739,37.9133660225078,32.255705997878806,49.275208981395615,30.928419559940505,29.4870715563225,52.952732895092765,39.09005610125239,44.073426480542295,72.8856731304634,53.37032881814215,76.44030401027896,47.311902831314676,35.94326603614171,32.06580425425009,29.70900055702635,20.937915550728835,21.833837051030432,27.221091710175507,23.659221742851244,17.218172667106167,23.956336991877915,36.612342624958224,37.344940455097976,34.166434171697375,33.53091544377923,48.27707525675711,77.34750997569897,37.25919623045754,25.360318202275163
DLL4,626.3848063289284,620.1374528467102,477.9092332999572,510.02504292183113,556.8852770810253,382.742320925259,623.5169383284006,591.9529614931741,1181.7284891088202,1867.9462522669892,1097.428319365503,1129.2420290346463,1312.2323704651142,770.2830634881958,1412.86329435475,1445.5932308910742,792.899887014184,723.9093135728754,617.6685087465007,767.67771071423,762.1905678849142,400.96154743147895,724.6604844242943,753.5356908354327,442.0601368791252,455.6082735521953,331.0890168543055,345.368429070926,445.331388082739,458.81136599221435,616.550985242095,418.99656160280705
EP300,2067.0698608854636,2212.199422700446,2023.777915575038,1943.511358249031,2055.826908747158,2587.521439069565,2106.843940423147,2004.3836890410219,2081.0424027771455,2146.230223083048,1903.9720239594271,1857.1269513642073,1955.2177605122554,2629.5464579535965,1883.1992695601723,2033.0409851692652,2002.655229333619,2055.8628385462234,1809.3848688421504,1875.9632794245347,1987.1396948428119,2304.906286632508,1813.148443466571,1774.9467862164092,1818.4130170395918,1948.3388934573973,1825.4637686021167,1821.8464057786714,1601.0254549434756,2125.2986263777284,1736.1011195953668,1757.5803136707223
FBXW7,772.1616339836609,773.4805320960785,771.3622712911589,760.0727188321803,767.4960633024693,1004.9850762019524,874.6557051551175,778.458689086914,645.1407957718802,612.4108789196208,615.2650336683704,603.4933735202369,628.5838727470076,914.9316387691853,966.6471127496058,585.2013001509322,634.5142478189487,688.2585129044438,752.0201335303441,643.6615162643772,690.3268857700508,952.5949806990105,856.4169361378023,785.1144986883626,627.8338753835428,707.4198720494273,725.6299828846204,729.8562594929278,581.295395948708,811.2699057678426,801.0727189548371,739.8597179881145
FLT4,5257.076847298788,4761.528115221195,5199.359005265543,4838.467663824805,5006.2753103178375,5777.804736841784,5854.131254305539,4892.642347982811,7117.729846648719,8597.950911032609,7437.831452856317,8458.625319034045,8712.917966580826,7311.221077413913,8840.832038871155,7906.395300887546,6119.710157371728,6131.937714970239,4893.3653468349185,7165.8653201481875,5769.782598888801,5953.407323819568,5694.723455594634,4784.733851923253,3882.264330935385,4228.514257815808,3348.3105488263427,3503.980663874929,4188.282590132132,5900.384482578036,5179.91539975337,3377.3328110247317
FYN,1662.7669404367919,1713.834415139999,1568.925706688675,1637.4963324959322,1605.1957220120867,2101.6449598111526,1749.311410310235,1714.6732110001533,1738.6147300555458,1919.1356114472007,1624.5465000727888,1579.1895844933736,1720.5577433277256,2225.0008490376586,2111.4096243935724,1796.0400747434558,1825.8074604162398,1899.3954356125512,1915.8192728916886,1776.400982471836,1843.4123306130853,2311.1323976174685,2188.205161128318,2007.976609682858,1916.0459307061471,1946.2048968599631,2044.2916446065594,1837.4941663191016,1874.923963543036,2495.3361456932885,2462.655446089289,2096.085430544569
HDAC3,916.7995801723407,868.1924339853942,845.7735773532137,902.6991910120905,832.9561725334587,584.4268972212038,899.3984408030699,867.6570805447896,838.4182708389689,795.7618563469237,839.1580401895252,763.8418544072564,918.3085149026364,562.1302356448207,867.384885240769,824.4486647040004,766.6642289879793,803.133315058279,839.2614483250476,784.2714268730131,791.5893469319037,516.7672117517508,865.4003305728143,814.5154577238492,798.6914743000145,814.1197019211359,873.6845309619756,792.4473016546491,840.4152080410981,530.8851821059338,919.0601736846193,869.9691765910915
HES1,419.1083795073557,417.183377369605,388.82527533834235,397.1876440453198,437.34942544182735,425.141919351111,363.71821402490036,441.5688965559294,430.6822275467545,395.55413911981583,414.2902089170976,411.07519645581357,439.6698516923139,399.8415902076131,425.8071254818321,452.6605066426596,382.8462689749859,374.333407018532,370.77558787748984,446.28362932306203,390.8948769581203,430.84688015929106,452.9128027651839,445.3700831671849,265.77848720340046,311.56350322538884,287.974230875735,311.8375136271468,335.969033929677,450.0218762222486,377.0275809034394,336.2998718127794
HEY1,411.1362092449876,377.7200849157235,368.91239061751077,324.97170876435257,348.1718853300448,205.12238157371664,301.8613749050193,445.9919572893778,1051.1117479675913,917.6856027579728,1118.5835640761634,1033.0329405024345,1084.349537892412,535.0821280719528,1025.091228011818,1029.9992173481858,612.1653539447743,650.6271121988771,685.7167342863694,606.1073165366048,634.7958586812928,427.11121356831455,721.6660196126236,589.1081051184524,356.63133742088934,411.86134330479484,353.0531531075395,359.89849242989703,294.5886837095995,241.71096867405927,422.2708906118521,327.4788915685097
HEY2,87.69387288604997,51.86604151081576,71.26716636929186,80.34022800007605,92.02363181747778,57.29675462952979,92.78525867982151,93.62145219132394,20.29854760978556,14.891449943334244,28.206992947547068,20.407988476529752,27.108738447310298,15.288060802055794,35.25200603117564,26.95744952710628,82.59373823064416,75.26280141113342,60.1965072083454,85.5886412400393,66.41946377282824,70.97766522855373,72.61577168301295,56.62406925352962,55.59652028234397,39.478937052532146,41.48781292277538,46.94328162129092,47.29182882294574,67.6790712287366,63.8729078236415,20.949828080140353
